,predictions,file_names
0,calm,03-01-02-01-01-02-12.wav
1,fearful,03-01-06-01-01-02-22.wav
2,happy,03-01-03-01-02-02-04.wav
3,calm,03-01-02-01-02-02-21.wav
4,calm,03-01-02-01-02-01-04.wav
5,calm,03-01-02-01-02-01-07.wav
6,disgust,03-01-07-01-02-02-13.wav
7,calm,03-01-02-01-01-02-15.wav
8,calm,03-01-02-01-02-02-07.wav
9,fearful,03-01-03-02-01-01-10.wav
10,fearful,03-01-06-01-02-01-19.wav
11,disgust,03-01-06-01-01-01-12.wav
12,calm,03-01-02-01-02-02-09.wav
13,calm,03-01-07-01-02-01-07.wav
14,happy,03-01-07-02-02-01-06.wav
15,calm,03-01-02-02-01-01-08.wav
16,calm,03-01-02-01-01-02-24.wav
17,happy,03-01-03-01-02-01-13.wav
18,disgust,03-01-07-01-02-02-05.wav
19,fearful,03-01-06-02-02-01-15.wav
20,calm,03-01-02-01-02-01-21.wav
21,happy,03-01-03-02-01-01-16.wav
22,fearful,03-01-03-01-01-02-17.wav
23,happy,03-01-03-01-02-02-15.wav
24,disgust,03-01-07-01-01-02-19.wav
25,disgust,03-01-07-01-01-01-20.wav
26,disgust,03-01-07-01-02-01-22.wav
27,happy,03-01-03-01-01-01-18.wav
28,happy,03-01-03-01-01-02-06.wav
29,calm,03-01-02-01-01-02-22.wav
30,happy,03-01-03-02-02-02-07.wav
31,fearful,03-01-06-02-01-02-01.wav
32,happy,03-01-03-02-02-01-03.wav
33,disgust,03-01-07-02-01-02-22.wav
34,disgust,03-01-03-02-01-02-07.wav
35,disgust,03-01-07-02-02-01-02.wav
36,fearful,03-01-06-01-01-01-09.wav
37,calm,03-01-02-02-02-02-01.wav
38,calm,03-01-02-01-02-02-14.wav
39,fearful,03-01-03-02-01-02-10.wav
40,happy,03-01-06-02-01-01-03.wav
41,disgust,03-01-07-02-02-01-19.wav
42,fearful,03-01-07-01-02-02-23.wav
43,fearful,03-01-06-02-02-02-09.wav
44,calm,03-01-03-01-01-02-11.wav
45,calm,03-01-02-02-02-02-21.wav
46,disgust,03-01-07-01-01-02-10.wav
47,fearful,03-01-06-02-02-02-13.wav
48,disgust,03-01-03-01-01-02-20.wav
49,fearful,03-01-06-02-02-01-24.wav
50,fearful,03-01-06-01-02-02-09.wav
51,disgust,03-01-07-01-01-01-05.wav
52,fearful,03-01-07-02-02-02-23.wav
53,calm,03-01-03-01-01-01-21.wav
54,fearful,03-01-02-01-02-01-14.wav
55,happy,03-01-03-02-02-02-01.wav
56,disgust,03-01-07-01-01-02-05.wav
57,disgust,03-01-07-02-01-01-24.wav
58,happy,03-01-03-01-01-01-17.wav
59,fearful,03-01-03-01-02-02-24.wav
60,fearful,03-01-06-01-02-01-21.wav
61,fearful,03-01-06-01-02-02-08.wav
62,disgust,03-01-07-02-01-02-01.wav
63,happy,03-01-03-02-02-02-12.wav
64,calm,03-01-02-01-01-01-19.wav
65,happy,03-01-03-02-01-01-11.wav
66,disgust,03-01-07-02-01-02-16.wav
67,fearful,03-01-06-01-01-02-08.wav
68,fearful,03-01-06-01-02-02-07.wav
69,happy,03-01-03-02-01-01-06.wav
70,fearful,03-01-06-01-01-02-03.wav
71,disgust,03-01-07-02-02-02-24.wav
72,happy,03-01-03-02-02-01-15.wav
73,fearful,03-01-06-01-01-01-20.wav
74,calm,03-01-02-01-02-01-02.wav
75,disgust,03-01-07-02-01-02-24.wav
76,happy,03-01-03-01-01-01-23.wav
77,fearful,03-01-06-02-01-01-01.wav
78,happy,03-01-03-01-02-02-22.wav
79,disgust,03-01-07-01-02-01-04.wav
80,happy,03-01-03-02-01-01-22.wav
81,calm,03-01-02-02-02-01-22.wav
82,fearful,03-01-03-02-02-02-10.wav
83,disgust,03-01-07-01-01-02-09.wav
84,calm,03-01-02-01-02-02-02.wav
85,disgust,03-01-07-02-01-02-15.wav
86,happy,03-01-03-02-02-01-06.wav
87,calm,03-01-02-02-02-01-03.wav
88,happy,03-01-03-02-01-02-13.wav
89,disgust,03-01-07-01-01-01-09.wav
90,happy,03-01-03-02-02-01-24.wav
91,fearful,03-01-06-02-01-01-05.wav
92,happy,03-01-03-02-01-02-23.wav
93,happy,03-01-03-02-02-01-18.wav
94,fearful,03-01-06-01-01-01-15.wav
95,calm,03-01-02-02-02-01-19.wav
96,disgust,03-01-02-01-02-01-23.wav
97,fearful,03-01-06-02-02-01-02.wav
98,happy,03-01-06-01-01-01-03.wav
99,disgust,03-01-07-01-01-01-22.wav
100,happy,03-01-06-02-02-02-14.wav
101,calm,03-01-02-02-02-02-03.wav
102,fearful,03-01-06-02-01-02-16.wav
103,happy,03-01-03-01-01-01-10.wav
104,disgust,03-01-06-01-01-01-21.wav
105,happy,03-01-03-01-01-02-02.wav
106,fearful,03-01-03-02-01-01-15.wav
107,calm,03-01-02-02-01-01-16.wav
108,fearful,03-01-06-02-01-02-19.wav
109,disgust,03-01-07-01-01-02-24.wav
110,disgust,03-01-07-01-02-02-12.wav
111,disgust,03-01-07-02-01-01-03.wav
112,happy,03-01-03-01-02-02-18.wav
113,calm,03-01-02-01-02-02-19.wav
114,happy,03-01-03-01-02-01-02.wav
115,calm,03-01-02-01-01-02-21.wav
116,happy,03-01-03-01-02-02-21.wav
117,fearful,03-01-06-01-02-01-24.wav
118,calm,03-01-02-01-02-02-15.wav
119,disgust,03-01-07-01-01-02-18.wav
120,calm,03-01-02-01-02-01-18.wav
121,disgust,03-01-07-02-02-01-08.wav
122,disgust,03-01-07-01-02-02-15.wav
123,fearful,03-01-06-02-02-02-24.wav
124,happy,03-01-03-02-01-01-24.wav
125,fearful,03-01-06-01-02-02-20.wav
126,calm,03-01-06-01-02-01-09.wav
127,disgust,03-01-07-01-01-01-16.wav
128,happy,03-01-03-01-02-01-04.wav
129,fearful,03-01-06-02-02-01-12.wav
130,happy,03-01-03-01-02-02-11.wav
131,disgust,03-01-07-01-01-01-17.wav
132,happy,03-01-03-01-01-02-12.wav
133,calm,03-01-07-01-01-01-04.wav
134,calm,03-01-02-02-02-02-17.wav
135,fearful,03-01-07-01-01-01-14.wav
136,disgust,03-01-07-02-01-01-13.wav
137,fearful,03-01-06-01-02-02-16.wav
138,disgust,03-01-07-01-01-02-03.wav
139,disgust,03-01-07-01-01-01-18.wav
140,disgust,03-01-02-01-01-01-08.wav
141,disgust,03-01-07-01-01-02-14.wav
142,happy,03-01-03-01-02-01-01.wav
143,happy,03-01-03-02-02-01-20.wav
